Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2012,Oregon,1.2160493827160495,5.1265432098765435,26.641975308641975,16.564814814814813,12.387345679012345
2012,Pennsylvania,6.801144492131616,3.5954935622317596,33.699928469241776,21.219241773962803,16.32895207439199
2012,Rhode Island,2.5098039215686274,3.0,38.537254901960786,12.533333333333333,14.145098039215686
2012,South Dakota,0.6483516483516484,2.659340659340659,37.222527472527474,13.82967032967033,13.589972527472527
2012,Texas,2.7687788501888377,3.2266051195971466,36.0444817456987,21.400335711288292,15.860050356693243
2012,Utah,0.9348127600554785,5.432732316227462,43.41192787794729,16.17753120665742,16.489251040221912
2012,Virginia,2.973293768545994,3.5682492581602374,40.40652818991098,16.080118694362017,15.757047477744806
2012,Wyoming,3.986111111111111,2.636111111111111,40.455555555555556,11.709722222222222,14.696874999999999
2013,Alabama,6.580645161290323,4.129032258064516,18.903225806451612,21.387096774193548,12.75
2013,Arizona,2.174134419551935,5.763747454175153,43.91140529531568,30.119144602851325,20.492107942973522
2013,Arkansas,2.4315068493150687,5.428767123287671,35.676712328767124,22.013698630136986,16.387671232876713
2013,California,1.2603504073206115,5.6745898895212585,37.69456533868988,20.671353643566565,16.32521481977458
2013,Colorado,7.086666666666667,5.08952380952381,39.153333333333336,25.502857142857142,19.20809523809524
2013,Connecticut,1.5738068812430632,2.846836847946726,36.48168701442841,15.203107658157602,14.02635960044395
2013,Delaware,2.317829457364341,3.248062015503876,35.16279069767442,20.868217054263567,15.39922480620155
2013,District Of Columbia,2.2439024390243905,5.050304878048781,33.16463414634146,22.288109756097562,15.68673780487805
2013,Florida,0.30985915492957744,4.059154929577465,34.816901408450704,11.44225352112676,12.657042253521126
2013,Georgia,0.7348703170028819,4.8097982708933715,32.242074927953894,20.596541786743515,14.595821325648416
2013,Hawaii,2.2606177606177607,5.086872586872587,29.086872586872587,9.583011583011583,11.50434362934363
2013,Illinois,4.830508474576271,4.3241525423728815,34.983050847457626,21.173728813559322,16.327860169491526
2013,Indiana,13.12396694214876,4.136363636363637,37.32644628099174,19.43595041322314,18.50568181818182
2013,Iowa,1.9403122130394859,2.726354453627181,32.28833792470156,14.004591368227732,12.73989898989899
2013,Kansas,9.694805194805195,6.564935064935065,34.561688311688314,23.564935064935064,18.596590909090907
